Goals,MarginVictory
6,2
3,1
9,1
7,3
6,2
5,1
6,2
6,4
5,3
6,2
5,3
5,1
8,2
6,2
5,1
7,3
7,1
7,1
5,1
5,3
9,1
5,1
8,2
9,1
9,3
7,1
6,6
5,1
5,3
3,1
3,1
3,1
5,1
7,1
5,5
3,3
7,5
5,3
7,3
8,4
7,1
8,4
7,3
9,1
